Date,Open,High,Low,Close*,Adj Close**,Volume
15-Feb-23,"4,119.50","4,148.11","4,103.98","4,147.60","4,147.60","4,075,980,000"
14-Feb-23,"4,126.70","4,159.77","4,095.01","4,136.13","4,136.13","3,929,200,000"
13-Feb-23,"4,096.62","4,138.90","4,092.67","4,137.29","4,137.29","3,448,620,000"
10-Feb-23,"4,068.92","4,094.36","4,060.79","4,090.46","4,090.46","3,891,520,000"
09-Feb-23,"4,144.25","4,156.23","4,069.67","4,081.50","4,081.50","4,270,200,000"
08-Feb-23,"4,153.47","4,156.85","4,111.67","4,117.86","4,117.86","4,029,820,000"
07-Feb-23,"4,105.35","4,176.54","4,088.39","4,164.00","4,164.00","4,355,860,000"
06-Feb-23,"4,119.57","4,124.63","4,093.38","4,111.08","4,111.08","4,114,240,000"
03-Feb-23,"4,136.69","4,182.36","4,123.36","4,136.48","4,136.48","4,694,510,000"
02-Feb-23,"4,158.68","4,195.44","4,141.88","4,179.76","4,179.76","5,624,360,000"
01-Feb-23,"4,070.07","4,148.95","4,037.20","4,119.21","4,119.21","4,856,930,000"
31-Jan-23,"4,020.85","4,077.16","4,020.44","4,076.60","4,076.60","4,679,320,000"
30-Jan-23,"4,049.27","4,063.85","4,015.55","4,017.77","4,017.77","3,802,000,000"
27-Jan-23,"4,053.72","4,094.21","4,048.70","4,070.56","4,070.56","3,907,760,000"
26-Jan-23,"4,036.08","4,061.57","4,013.29","4,060.43","4,060.43","3,809,590,000"
25-Jan-23,"3,982.71","4,019.55","3,949.06","4,016.22","4,016.22","3,724,020,000"
24-Jan-23,"4,001.74","4,023.92","3,989.79","4,016.95","4,016.95","3,320,430,000"
23-Jan-23,"3,978.14","4,039.31","3,971.64","4,019.81","4,019.81","3,945,210,000"
20-Jan-23,"3,909.04","3,972.96","3,897.86","3,972.61","3,972.61","4,013,360,000"
19-Jan-23,"3,911.84","3,922.94","3,885.54","3,898.85","3,898.85","3,991,500,000"
18-Jan-23,"4,002.25","4,014.16","3,926.59","3,928.86","3,928.86","4,298,710,000"
17-Jan-23,"3,999.28","4,015.39","3,984.57","3,990.97","3,990.97","4,235,560,000"
13-Jan-23,"3,960.60","4,003.95","3,947.67","3,999.09","3,999.09","3,939,700,000"
12-Jan-23,"3,977.57","3,997.76","3,937.56","3,983.17","3,983.17","4,440,260,000"
11-Jan-23,"3,932.35","3,970.07","3,928.54","3,969.61","3,969.61","4,303,360,000"
10-Jan-23,"3,888.57","3,919.83","3,877.29","3,919.25","3,919.25","3,851,030,000"
09-Jan-23,"3,910.82","3,950.57","3,890.42","3,892.09","3,892.09","4,311,770,000"
06-Jan-23,"3,823.37","3,906.19","3,809.56","3,895.08","3,895.08","3,923,560,000"
05-Jan-23,"3,839.74","3,839.74","3,802.42","3,808.10","3,808.10","3,893,450,000"
04-Jan-23,"3,840.36","3,873.16","3,815.77","3,852.97","3,852.97","4,414,080,000"
03-Jan-23,"3,853.29","3,878.46","3,794.33","3,824.14","3,824.14","3,959,140,000"
30-Dec-22,"3,829.06","3,839.85","3,800.34","3,839.50","3,839.50","2,979,870,000"
29-Dec-22,"3,805.45","3,858.19","3,805.45","3,849.28","3,849.28","3,003,680,000"
28-Dec-22,"3,829.56","3,848.32","3,780.78","3,783.22","3,783.22","3,083,520,000"
27-Dec-22,"3,843.34","3,846.65","3,813.22","3,829.25","3,829.25","3,030,300,000"
23-Dec-22,"3,815.11","3,845.80","3,797.01","3,844.82","3,844.82","2,819,280,000"
22-Dec-22,"3,853.26","3,853.26","3,764.49","3,822.39","3,822.39","3,956,950,000"
21-Dec-22,"3,839.49","3,889.82","3,839.49","3,878.44","3,878.44","3,775,200,000"
20-Dec-22,"3,810.47","3,838.24","3,795.62","3,821.62","3,821.62","3,985,370,000"
19-Dec-22,"3,853.79","3,854.86","3,800.04","3,817.66","3,817.66","3,969,610,000"
16-Dec-22,"3,890.91","3,890.91","3,827.91","3,852.36","3,852.36","7,493,660,000"
15-Dec-22,"3,958.37","3,958.37","3,879.45","3,895.75","3,895.75","4,493,900,000"
14-Dec-22,"4,015.54","4,053.76","3,965.65","3,995.32","3,995.32","4,472,340,000"
13-Dec-22,"4,069.38","4,100.96","3,993.03","4,019.65","4,019.65","5,079,360,000"
12-Dec-22,"3,939.29","3,990.71","3,935.30","3,990.56","3,990.56","3,904,130,000"
09-Dec-22,"3,954.17","3,977.02","3,933.04","3,934.38","3,934.38","3,888,260,000"
08-Dec-22,"3,947.79","3,974.19","3,935.83","3,963.51","3,963.51","4,006,900,000"
07-Dec-22,"3,933.28","3,957.57","3,922.68","3,933.92","3,933.92","4,118,050,000"
06-Dec-22,"3,996.63","4,001.51","3,918.39","3,941.26","3,941.26","4,368,380,000"
05-Dec-22,"4,052.02","4,052.45","3,984.49","3,998.84","3,998.84","4,280,820,000"
02-Dec-22,"4,040.17","4,080.48","4,026.63","4,071.70","4,071.70","4,012,620,000"
01-Dec-22,"4,087.14","4,100.51","4,050.87","4,076.57","4,076.57","4,527,130,000"
30-Nov-22,"3,957.18","4,080.11","3,938.58","4,080.11","4,080.11","6,579,360,000"
29-Nov-22,"3,964.19","3,976.77","3,937.65","3,957.63","3,957.63","3,546,040,000"
28-Nov-22,"4,005.36","4,012.27","3,955.77","3,963.94","3,963.94","3,615,430,000"
25-Nov-22,"4,023.34","4,034.02","4,020.76","4,026.12","4,026.12","1,706,460,000"
